Date,Open,High,Low,Close,Adj Close,Volume
12/4/2021,53727.87891,53904.67969,42874.61719,49200.70313,49200.70313,61385677469
12/5/2021,49201.51953,49768.14844,47857.49609,49368.84766,49368.84766,37198201161
12/6/2021,49413.48047,50929.51953,47281.03516,50582.625,50582.625,37707308001
12/7/2021,50581.82813,51934.78125,50175.80859,50700.08594,50700.08594,33676814852
12/8/2021,50667.64844,51171.375,48765.98828,50504.79688,50504.79688,28479699446
12/9/2021,50450.08203,50797.16406,47358.35156,47672.12109,47672.12109,29603577251
12/10/2021,47642.14453,50015.25391,47023.69922,47243.30469,47243.30469,30966005122
12/11/2021,47264.63281,49458.21094,46942.34766,49362.50781,49362.50781,25775869261
12/12/2021,49354.85547,50724.86719,48725.85156,50098.33594,50098.33594,21939223599
12/13/2021,50114.74219,50205,45894.84766,46737.48047,46737.48047,32166727776
12/14/2021,46709.82422,48431.39844,46424.49609,46612.63281,46612.63281,34638619079
12/15/2021,48379.75391,49473.95703,46671.96484,48896.72266,48896.72266,36541828520
12/16/2021,48900.46484,49425.57422,47529.87891,47665.42578,47665.42578,27268150947
12/17/2021,47653.73047,48004.89453,45618.21484,46202.14453,46202.14453,32902725329
12/18/2021,46219.25391,47313.82813,45598.44141,46848.77734,46848.77734,26098292690
12/19/2021,46853.86719,48089.66406,46502.95313,46707.01563,46707.01563,25154053861
12/20/2021,46707.0625,47401.71875,45579.80859,46880.27734,46880.27734,30961902129
12/21/2021,46886.07813,49300.91797,46698.77344,48936.61328,48936.61328,27055803928
12/22/2021,48937.09766,49544.79688,48450.94141,48628.51172,48628.51172,24447979559
12/23/2021,48626.34375,51332.33984,48065.83594,50784.53906,50784.53906,28223878108
12/24/2021,50806.05078,51814.02734,50514.49609,50822.19531,50822.19531,24367912228
12/25/2021,50854.91797,51176.59766,50236.70703,50429.85938,50429.85938,19030650914
12/26/2021,50428.69141,51196.37891,49623.10547,50809.51563,50809.51563,20964372926
12/27/2021,50802.60938,51956.32813,50499.46875,50640.41797,50640.41797,24324345758
12/28/2021,50679.85938,50679.85938,47414.21094,47588.85547,47588.85547,33430376883
12/29/2021,47623.87109,48119.74219,46201.49609,46444.71094,46444.71094,30049226299
12/30/2021,46490.60547,47879.96484,46060.3125,47178.125,47178.125,26686491018
12/31/2021,47169.37109,48472.52734,45819.95313,46306.44531,46306.44531,36974172400
1/1/2022,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004
1/2/2022,47680.92578,47881.40625,46856.9375,47345.21875,47345.21875,27951569547
1/3/2022,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362
1/4/2022,46458.85156,47406.54688,45752.46484,45897.57422,45897.57422,42494677905
1/5/2022,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859
1/6/2022,43565.51172,43748.71875,42645.53906,43160.92969,43160.92969,30208048289
1/7/2022,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520
1/8/2022,41561.46484,42228.94141,40672.27734,41733.94141,41733.94141,28066355845
1/9/2022,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372
1/10/2022,41910.23047,42199.48438,39796.57031,41821.26172,41821.26172,32104232331
1/11/2022,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900
1/12/2022,42742.17969,44135.36719,42528.98828,43949.10156,43949.10156,33499938689
1/13/2022,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082
