,Diem,Khoi
260,20.55,KhoiA
261,12.65,KhoiB
262,11.75,KhoiB
263,13.3,KhoiA
264,6.95,KhoiA1
265,15.9,KhoiA1
266,20.35,KhoiB
267,20.1,KhoiA
268,13.95,KhoiA
269,7.8,KhoiB
270,15.85,KhoiA
271,13.3,KhoiB
272,19.1,KhoiA
273,10.45,KhoiB
274,12.6,KhoiA
275,15.25,KhoiB
276,12.35,KhoiA1
277,11.3,KhoiA
278,11.75,KhoiA
279,17.5,KhoiA
280,13.65,KhoiB
281,11.35,KhoiA1
282,16.7,KhoiA1
283,11.35,KhoiA1
284,13.4,KhoiA
285,18.7,KhoiA1
286,14.35,KhoiA1
287,12.3,KhoiA
288,20.6,KhoiA1
289,17.9,KhoiA
290,11,KhoiA
291,20.85,KhoiB
292,17.4,KhoiB
293,14.1,KhoiA1
294,9.1,KhoiA
295,18.1,KhoiA1
296,8.9,KhoiA
297,16.2,KhoiB
298,13.1,KhoiA
299,13.5,KhoiA1
300,18.1,KhoiB
301,18.7,KhoiA
302,21.25,KhoiA
303,14.8,KhoiA
304,17.4,KhoiA1
305,13.45,KhoiB
306,15.65,KhoiB
307,16.85,KhoiA
308,12.05,KhoiB
309,18.65,KhoiA
310,14.8,KhoiA1
311,12.9,KhoiA1
312,17.05,KhoiB
313,16.6,KhoiB
314,13,KhoiA1
315,14.1,KhoiA
316,15.3,KhoiB
317,10.35,KhoiA
318,16.05,KhoiA1
319,16.35,KhoiB
320,13.5,KhoiB
321,9.65,KhoiA1
322,12.45,KhoiB
323,11.5,KhoiA
324,15.5,KhoiA
325,13.3,KhoiA
326,14.15,KhoiA
327,16.05,KhoiB
328,0,KhoiA
329,14.7,KhoiA1
330,23.65,KhoiA
331,14.45,KhoiA1
332,15.95,KhoiA1
333,18.55,KhoiA
334,11.65,KhoiA
335,12.05,KhoiA1
336,18.9,KhoiA1
337,18.35,KhoiA1
338,15.05,KhoiB
339,14.2,KhoiA1
340,18.45,KhoiA1
341,14.85,KhoiA
342,12.9,KhoiB
343,12.2,KhoiA
344,14.8,KhoiA
345,13.05,KhoiA1
346,19.6,KhoiA
347,13.5,KhoiB
348,13.8,KhoiA
349,20.75,KhoiA
350,13.5,KhoiA1
351,17.35,KhoiA
352,16.95,KhoiA
353,11.4,KhoiA
354,12.7,KhoiA1
355,18.7,KhoiB
356,20.5,KhoiA
357,16.4,KhoiA
358,12.95,KhoiA
359,12.65,KhoiA1
360,11.9,KhoiA1
361,15.45,KhoiA
362,16.75,KhoiB
363,13.15,KhoiA1
364,16.25,KhoiB
365,15.3,KhoiB
366,18.05,KhoiA
367,13.55,KhoiA
368,17.6,KhoiA1
369,12.7,KhoiA
370,17.75,KhoiA1
371,17.75,KhoiA
372,17,KhoiA
373,15.4,KhoiA1
374,13.8,KhoiB
375,19.6,KhoiA
376,11.7,KhoiA1
377,19.2,KhoiA
378,17.25,KhoiB
379,16.5,KhoiA
380,12.2,KhoiB
381,13.85,KhoiA
382,12.05,KhoiB
383,15.05,KhoiA1
384,17.7,KhoiB
385,13.3,KhoiA
386,9.35,KhoiB
387,22.15,KhoiA
388,20.3,KhoiA
389,11.8,KhoiA
390,16.7,KhoiA
391,15.9,KhoiA1
392,12.75,KhoiB
393,12.5,KhoiB
394,15.25,KhoiA
395,10.4,KhoiA
396,16.35,KhoiA
397,15.6,KhoiA
398,14.9,KhoiB
399,14.15,KhoiB
400,14.4,KhoiB
401,16.35,KhoiB
402,19.55,KhoiA1
403,11.65,KhoiA
404,13.6,KhoiA1
405,14.05,KhoiB
406,12.9,KhoiB
407,14.85,KhoiA1
408,16.7,KhoiB
409,13.45,KhoiB
410,20.55,KhoiA
411,15.5,KhoiB
412,15.6,KhoiB
413,12.6,KhoiA1
414,17.65,KhoiA1
415,15.55,KhoiA1
416,17.2,KhoiA
417,13.2,KhoiA1
418,16.05,KhoiB
419,20.05,KhoiB
420,15.45,KhoiA
421,8.35,KhoiA1
422,17.2,KhoiA
423,5.9,KhoiA
424,16.5,KhoiA
425,18.4,KhoiA
426,16.2,KhoiA1
427,12.7,KhoiB
428,9.15,KhoiA1
429,17.55,KhoiA
430,16.8,KhoiA
431,17.3,KhoiB
432,15.95,KhoiB
433,14.55,KhoiA
434,13.1,KhoiB
435,14.45,KhoiA1
436,9.75,KhoiA
437,14,KhoiB
438,13.35,KhoiA1
439,6.95,KhoiA
440,20.55,KhoiB
441,18.25,KhoiA
442,13.55,KhoiA
443,11,KhoiB
444,7.4,KhoiA1
445,21.25,KhoiA1
446,14.05,KhoiA1
447,15.9,KhoiB
448,16,KhoiB
449,15.2,KhoiB
450,12.4,KhoiA
451,14.85,KhoiB
452,10.3,KhoiA1
453,15,KhoiA
454,7.3,KhoiA
455,15.45,KhoiA
456,17.7,KhoiA1
457,9.35,KhoiA
458,10.65,KhoiA1
459,14.2,KhoiA1
460,10.75,KhoiA1
461,22.45,KhoiA
462,9.5,KhoiA1
463,15.7,KhoiB
464,12.65,KhoiB
465,15.1,KhoiB
466,16.65,KhoiB
467,12.75,KhoiB
468,11.65,KhoiB
469,16.85,KhoiA1
470,17.3,KhoiB
471,17.15,KhoiA
472,11.2,KhoiA1
473,13.25,KhoiB
474,17,KhoiA
475,15.5,KhoiB
476,10.2,KhoiA
477,17.8,KhoiB
478,20.2,KhoiA1
479,11,KhoiB
480,19.25,KhoiA
481,12.3,KhoiA1
482,12.65,KhoiB
483,17.9,KhoiA1
484,13.55,KhoiA1
485,16.1,KhoiA
486,15.6,KhoiB
487,14.6,KhoiA1
488,17.25,KhoiB
489,15,KhoiA
490,10.75,KhoiA1
491,9.65,KhoiA
492,19.9,KhoiA
493,0,KhoiB
494,6.75,KhoiA
495,19,KhoiA1
496,8.55,KhoiA1
497,12.2,KhoiA
498,16.6,KhoiB
499,14.75,KhoiB
500,17.3,KhoiA
501,15,KhoiA1
502,17.85,KhoiA
503,10.6,KhoiA1
504,11.5,KhoiA
505,10.9,KhoiA1
506,19.15,KhoiA
507,16,KhoiA1
508,13.8,KhoiA
509,13.6,KhoiA1
510,21.55,KhoiA
511,17.9,KhoiA1
512,14.9,KhoiB
513,14.95,KhoiA1
514,10.8,KhoiA1
515,16.5,KhoiA
516,15.1,KhoiB
517,16.75,KhoiB
518,13,KhoiA1
519,14.8,KhoiB
520,13.8,KhoiB
521,13.8,KhoiA
522,16.45,KhoiB
523,13,KhoiB
524,12.05,KhoiA
525,13.95,KhoiA1
526,21.15,KhoiA1
527,18.05,KhoiA1
528,13.65,KhoiA1
529,15.75,KhoiA
530,9.9,KhoiA1
531,18.75,KhoiA1
532,14.25,KhoiB
533,16.1,KhoiA1
534,22.5,KhoiB
535,15.6,KhoiB
536,14.55,KhoiB
537,18.55,KhoiB
538,6.8,KhoiA
539,13.95,KhoiB
540,17.8,KhoiB
541,15.1,KhoiA
542,17.7,KhoiA
543,15,KhoiB
544,17.75,KhoiA1
545,10.3,KhoiA
546,19.25,KhoiA
547,20.85,KhoiB
548,13.15,KhoiB
549,20.2,KhoiB
550,11.85,KhoiA
551,11.2,KhoiA1
552,12.7,KhoiA1
553,14.75,KhoiB
554,17.15,KhoiA1
555,11.9,KhoiA1
556,14.85,KhoiA
557,16.8,KhoiB
558,20.55,KhoiA
559,17.6,KhoiB
560,16.15,KhoiA
561,22.6,KhoiA1
562,15.2,KhoiA1
563,13.65,KhoiA
564,14.25,KhoiB
565,10.7,KhoiA1
566,16.15,KhoiA
567,13.8,KhoiA1
568,10.75,KhoiB
569,15.15,KhoiA
570,14,KhoiB
571,13,KhoiA
572,13.05,KhoiA1
573,15.45,KhoiB
574,14.4,KhoiB
575,18.9,KhoiA
576,14.3,KhoiB
577,17.15,KhoiA1
578,16.2,KhoiB
579,16.4,KhoiA
580,12.65,KhoiB
581,12.05,KhoiA
582,16.05,KhoiB
583,7.3,KhoiB
584,21.45,KhoiA
585,16.25,KhoiA1
586,16.45,KhoiA
587,18.05,KhoiA
588,12.55,KhoiA1
589,18.35,KhoiB
590,10.45,KhoiA1
591,11.15,KhoiA1
592,14.85,KhoiB
593,13.1,KhoiA1
594,16.6,KhoiA
595,16.8,KhoiB
596,15,KhoiA
597,14.95,KhoiA1
598,16.5,KhoiA1
599,14.65,KhoiA1
600,22.55,KhoiA
601,18.85,KhoiB
602,15.2,KhoiA
603,21.7,KhoiA1
604,13.4,KhoiB
605,13.35,KhoiA
606,15.05,KhoiA1
607,16.3,KhoiA
608,13.55,KhoiA
609,17.85,KhoiA
610,14.9,KhoiA
611,15.8,KhoiB
612,15.6,KhoiB
613,9.9,KhoiA1
614,19.05,KhoiA
615,14.95,KhoiA
616,9.75,KhoiB
617,17.9,KhoiA1
618,13.9,KhoiA
619,16.8,KhoiA1
620,19.1,KhoiB
621,13.9,KhoiA1
622,22.1,KhoiA1
623,19.35,KhoiA
624,14.9,KhoiB
625,18.95,KhoiA
626,16.15,KhoiA1
627,16.65,KhoiB
628,17.35,KhoiB
629,18.7,KhoiA
630,17,KhoiB
631,11.45,KhoiB
632,18.1,KhoiA1
633,12.05,KhoiA
634,14.2,KhoiA
635,16.6,KhoiA1
636,17.75,KhoiA1
637,16.35,KhoiB
638,12.65,KhoiA1
639,9.55,KhoiB
640,16.05,KhoiA1
641,16.05,KhoiA1
642,18.5,KhoiB
643,16.95,KhoiB
644,22,KhoiA1
645,16.35,KhoiA
646,13.7,KhoiA
647,10.95,KhoiA1
648,18.05,KhoiA1
649,15.5,KhoiB
650,20.4,KhoiA1
651,9.85,KhoiB
652,15.5,KhoiB
653,16.2,KhoiA1
654,19.5,KhoiA
655,10.7,KhoiA1
656,12.15,KhoiA1
657,19.95,KhoiA1
658,11.4,KhoiA
659,12.95,KhoiA
660,19.9,KhoiA1
661,15.95,KhoiA
662,7.85,KhoiA1
663,12.75,KhoiA1
664,11.3,KhoiA1
665,12.9,KhoiB
666,16,KhoiB
667,13,KhoiB
668,16.25,KhoiA1
669,16.4,KhoiB
670,17.2,KhoiB
671,17.15,KhoiA
672,15.7,KhoiA
673,18.35,KhoiA
674,15.55,KhoiA
675,16.15,KhoiB
676,16.9,KhoiA1
677,16.05,KhoiA
678,14.65,KhoiA1
679,11.6,KhoiA1
680,14.45,KhoiB
681,17.25,KhoiA
682,20.9,KhoiA
683,11.95,KhoiA1
684,14.55,KhoiB
685,19.6,KhoiA1
686,14.75,KhoiA1
687,13.95,KhoiA1
688,14.6,KhoiB
689,12.35,KhoiA
690,18.35,KhoiA1
691,10.9,KhoiA1
692,15,KhoiB
693,14.7,KhoiB
694,15.85,KhoiB
695,12.15,KhoiA1
696,10.55,KhoiB
697,11.55,KhoiA
698,13.1,KhoiB
699,14.4,KhoiA1
700,20.35,KhoiA1
701,18.25,KhoiA
702,16,KhoiA1
703,17.65,KhoiA
704,14.65,KhoiA1
705,19.7,KhoiA
706,19.75,KhoiA1
707,10.3,KhoiA
708,10.85,KhoiB
709,16.7,KhoiA1
710,14.5,KhoiA
711,17,KhoiA
712,15.15,KhoiA
713,16.1,KhoiA
714,16.5,KhoiA1
715,19.25,KhoiB
716,17.05,KhoiA
717,18.25,KhoiA1
718,22,KhoiA1
719,15.15,KhoiB
720,19.45,KhoiA
721,19.9,KhoiA
722,10.65,KhoiA1
723,18.85,KhoiB
724,18.15,KhoiA1
725,13.1,KhoiB
726,15.05,KhoiA1
727,17.25,KhoiB
728,12.9,KhoiB
729,13.9,KhoiA1
730,11.3,KhoiB
731,10.15,KhoiA1
732,18.05,KhoiA1
733,10.95,KhoiB
734,16.55,KhoiA1
735,10.65,KhoiA1
736,10.35,KhoiB
737,18.25,KhoiA1
738,15,KhoiB
739,17.35,KhoiB
740,7.85,KhoiA
741,17.25,KhoiA1
